,"0,15","0,20","0,15","0,10","0,20","0,20"
Médias Turma,"0,25","0,25",,,,
Nº Abaixo da Média,1,6,6,18,6,3
,nome,N1,N2,N3,N4,N5,N6
4,Stark Amostra,7.19,6.53,0.00,2.62,6.02,9.68
5,José Molde,7.67,2.44,6.36,5.56,9.55,6.82
6,Puck Exemplo,4.54,10.00,4.07,7.45,3.37,9.54
7,Maria Padrão,10.00,10.00,8.55,4.65,6.13,8.66
8,Maria Ilustração,6.92,9.45,6.86,6.90,1.79,6.59
9,Pedro Arquétipo,7.73,5.72,3.98,3.21,5.26,10.00
10,Edward Exemplo,7.15,7.13,7.67,6.31,8.04,10.00
11,Casca Hipótese,10.00,6.17,10.00,6.62,4.95,8.11
12,Fern Molde,9.96,5.83,7.94,5.76,7.52,7.81
13,Puck Padrão,5.93,5.97,8.06,7.44,0.00,7.01
14,José Padrão,6.61,9.01,7.11,5.21,4.03,7.56
15,Stark Talvez,6.64,5.93,8.91,1.54,5.77,8.28
16,Farnese Cdia,7.45,6.78,10.00,5.82,4.89,5.59
17,Edward Talvez,9.88,3.32,4.97,4.54,1.21,7.70
18,Juliete UniSenai,10.00,4.50,3.92,4.16,8.76,8.62
19,Pedro Cdia,7.34,8.93,4.92,4.48,5.19,7.28
20,Edward Cdia,5.94,9.10,10.00,4.51,7.77,8.20
21,João Ilustração,10.00,8.37,10.00,2.05,7.74,7.74
22,Virgínia Hipótese,9.82,5.76,5.13,3.36,0.39,10.00
23,Alphonse UniSenai,8.57,8.98,8.95,10.00,4.91,8.87
24,Virgínia Cdia,10.00,6.98,4.62,4.95,3.35,8.10
25,Paula Talvez,10.00,10.00,5.31,5.71,5.38,8.51
26,Juliete Aprendizado,6.81,10.00,6.90,8.07,9.08,8.45
27,Farnese Hipótese,10.00,10.00,8.54,3.58,5.33,10.00
28,José Vivência,4.98,10.00,3.28,0.02,6.41,9.05
29,Casca Talvez,10.00,8.54,6.16,3.75,10.00,8.55
30,Virgínia Vivência,8.57,3.88,7.78,3.79,8.64,8.31
31,Puck Molde,7.61,6.48,6.76,10.00,7.83,10.00
32,Casca Arquétipo,9.62,2.79,8.64,4.70,7.60,9.25
33,Stark Ilustração,4.35,6.74,10.00,4.48,8.25,10.00
34,Farnese Arquétipo,10.00,8.93,9.94,4.60,7.21,10.00
35,Paula Hipótese,9.26,5.86,10.00,6.83,5.90,9.24
36,Alphonse Aprendizado,8.33,6.93,8.54,8.80,10.00,9.49
